"county","year","n"
"Humboldt",2019,39
"Imperial",2019,66
"Inyo",2019,5
"Kern",2019,338
"Kings",2019,50
"Lake",2019,12
"Lassen",2019,5
"Los Angeles",2019,5965
"Madera",2019,39
"Marin",2019,245
"Mariposa",2019,3
"Mendocino",2019,26
"Merced",2019,100
"Modoc",2019,1
"Mono",2019,4
"Monterey",2019,209
"Napa",2019,71
"Nevada",2019,30
"Orange",2019,2026
"Placer",2019,189
"Plumas",2019,2
"Riverside",2019,815
"Sacramento",2019,535
"San Benito",2019,34
"San Bernadino",2019,765
"San Diego",2019,1686
"San Fransisco",2019,403
"San Joaquin",2019,241
"San Luis Obispo",2019,179
"San Mateo",2019,572
"Santa Barbara",2019,1056
"Santa Clara",2019,1691
"Santa Cruz",2019,226
"Shasta",2019,48
"Sierra",2019,0
"Siskiyou",2019,13
"Solano",2019,174
"Sonoma",2019,236
"Stanislaus",2019,199
"Slutter",2019,42
"Tehama",2019,10
"Trinity",2019,4
"Tulare",2019,188
"Tuolumne",2019,10
"Ventura",2019,1064
"Yolo",2019,117
"Yuba",2019,11
"Alameda",2018,961
"Alpine",2018,0
"Amador",2018,10
"Butte",2018,44
"Calaveras",2018,11
"Colusa",2018,3
"Contra Costa",2018,777
"Del Norte",2018,3
"El Dorado",2018,81
"Fresno",2018,238
"Glenn",2018,3
"Humboldt",2018,41
"Imperial",2018,52
"Inyo",2018,4
"Kern",2018,276
"Kings",2018,39
"Lake",2018,6
"Lassen",2018,6
"Los Angeles",2018,5191
"Madera",2018,30
"Marin",2018,211
"Mariposa",2018,3
"Mendocino",2018,27
"Merced",2018,87
"Modoc",2018,1
"Mono",2018,2
"Monterey",2018,165
"Napa",2018,56
"Nevada",2018,36
"Orange",2018,1814
"Placer",2018,172
"Plumas",2018,1
"Riverside",2018,747
"Sacramento",2018,472
"San Benito",2018,26
"San Bernadino",2018,654
"San Diego",2018,1538
"San Fransisco",2018,369
"San Joaquin",2018,190
"San Luis Obispo",2018,164
"San Mateo",2018,466
"Santa Barbara",2018,775
"Santa Clara",2018,1449
"Santa Cruz",2018,188
"Shasta",2018,39
"Sierra",2018,0
"Siskiyou",2018,15
"Solano",2018,137
"Sonoma",2018,190
"Stanislaus",2018,183
"Slutter",2018,36
"Tehama",2018,8
"Trinity",2018,4
"Tulare",2018,156
"Tuolumne",2018,12
"Ventura",2018,829
"Yolo",2018,112
"Yuba",2018,10
"Alameda",2017,910
"Alpine",2017,0
"Amador",2017,6
"Butte",2017,43
"Calaveras",2017,13
"Colusa",2017,1
"Contra Costa",2017,754
"Del Norte",2017,2
"El Dorado",2017,86
"Fresno",2017,228
"Glenn",2017,4
"Humboldt",2017,32
"Imperial",2017,44
"Inyo",2017,5
"Kern",2017,256
"Kings",2017,43
"Lake",2017,7
"Lassen",2017,6
"Los Angeles",2017,5211
"Madera",2017,26
"Marin",2017,193
"Mariposa",2017,3
"Mendocino",2017,23
"Merced",2017,80
"Modoc",2017,0
"Mono",2017,3
"Monterey",2017,181
"Napa",2017,59
"Nevada",2017,35
"Orange",2017,1786
"Placer",2017,188
"Plumas",2017,0
"Riverside",2017,727
"Sacramento",2017,465
"San Benito",2017,21
"San Bernadino",2017,646
"San Diego",2017,1553
"San Fransisco",2017,355
"San Joaquin",2017,196
"San Luis Obispo",2017,158
"San Mateo",2017,470
"Santa Barbara",2017,730
"Santa Clara",2017,1376
"Santa Cruz",2017,174
"Shasta",2017,45
"Sierra",2017,0
"Siskiyou",2017,14
"Solano",2017,117
"Sonoma",2017,194
"Stanislaus",2017,181
"Slutter",2017,32
"Tehama",2017,9
"Trinity",2017,1
"Tulare",2017,166
"Tuolumne",2017,12
"Ventura",2017,806
"Yolo",2017,121
"Yuba",2017,10
"Alameda",2016,867
"Alpine",2016,0
"Amador",2016,3
"Butte",2016,37
"Calaveras",2016,12
"Colusa",2016,1
"Contra Costa",2016,694
"Del Norte",2016,3
"El Dorado",2016,91
"Fresno",2016,229
"Glenn",2016,5
"Humboldt",2016,32
"Imperial",2016,47
"Inyo",2016,9
"Kern",2016,259
"Kings",2016,36
"Lake",2016,7
"Lassen",2016,6
"Los Angeles",2016,5242
"Madera",2016,31
"Marin",2016,179
"Mariposa",2016,2
"Mendocino",2016,18
"Merced",2016,67
"Modoc",2016,0
"Mono",2016,3
"Monterey",2016,170
"Napa",2016,55
"Nevada",2016,28
"Orange",2016,1777
"Placer",2016,161
"Plumas",2016,0
"Riverside",2016,718
"Sacramento",2016,459
"San Benito",2016,22
"San Bernadino",2016,619
"San Diego",2016,1515
"San Fransisco",2016,25
"San Joaquin",2016,186
"San Luis Obispo",2016,153
"San Mateo",2016,447
"Santa Barbara",2016,633
"Santa Clara",2016,1313
"Santa Cruz",2016,161
"Shasta",2016,44
"Sierra",2016,0
"Siskiyou",2016,10
"Solano",2016,116
"Sonoma",2016,194
"Stanislaus",2016,173
"Slutter",2016,29
"Tehama",2016,8
"Trinity",2016,2
"Tulare",2016,151
"Tuolumne",2016,16
"Ventura",2016,750
"Yolo",2016,112
"Yuba",2016,12
"Alameda",2015,952
"Alpine",2015,0
"Amador",2015,4
"Butte",2015,46
"Calaveras",2015,11
"Colusa",2015,4
"Contra Costa",2015,795
"Del Norte",2015,3
"El Dorado",2015,102
"Fresno",2015,251
"Glenn",2015,3
"Humboldt",2015,32
"Imperial",2015,51
"Inyo",2015,10
"Kern",2015,295
"Kings",2015,47
"Lake",2015,7
"Lassen",2015,10
"Los Angeles",2015,5928
"Madera",2015,33
"Marin",2015,212
"Mariposa",2015,2
"Mendocino",2015,25
"Merced",2015,69
"Modoc",2015,0
"Mono",2015,5
"Monterey",2015,186
"Napa",2015,70
"Nevada",2015,35
"Orange",2015,1989
"Placer",2015,193
"Plumas",2015,0
"Riverside",2015,765
"Sacramento",2015,486
"San Benito",2015,22
"San Bernadino",2015,682
"San Diego",2015,1675
"San Fransisco",2015,391
"San Joaquin",2015,198
"San Luis Obispo",2015,189
"San Mateo",2015,514
"Santa Barbara",2015,897
"Santa Clara",2015,1456
"Santa Cruz",2015,187
"Shasta",2015,59
"Sierra",2015,0
"Siskiyou",2015,8
"Solano",2015,123
"Sonoma",2015,228
"Stanislaus",2015,198
"Slutter",2015,32
"Tehama",2015,7
"Trinity",2015,3
"Tulare",2015,150
"Tuolumne",2015,19
"Ventura",2015,955
"Yolo",2015,143
"Yuba",2015,15
"Alameda",2014,867
"Alpine",2014,0
"Amador",2014,7
"Butte",2014,58
"Calaveras",2014,16
"Colusa",2014,6
"Contra Costa",2014,762
"Del Norte",2014,4
"El Dorado",2014,105
"Fresno",2014,242
"Glenn",2014,3
"Humboldt",2014,32
"Imperial",2014,40
"Inyo",2014,7
"Kern",2014,308
"Kings",2014,46
"Lake",2014,5
"Lassen",2014,9
"Los Angeles",2014,5873
"Madera",2014,34
"Marin",2014,198
"Mariposa",2014,1
"Mendocino",2014,31
"Merced",2014,75
"Modoc",2014,1
"Mono",2014,6
"Monterey",2014,205
"Napa",2014,75
"Nevada",2014,46
"Orange",2014,1914
"Placer",2014,191
"Plumas",2014,2
"Riverside",2014,750
"Sacramento",2014,467
"San Benito",2014,23
"San Bernadino",2014,641
"San Diego",2014,1702
"San Fransisco",2014,345
"San Joaquin",2014,178
"San Luis Obispo",2014,201
"San Mateo",2014,482
"Santa Barbara",2014,1000
"Santa Clara",2014,1335
"Santa Cruz",2014,180
"Shasta",2014,53
"Sierra",2014,1
"Siskiyou",2014,10
"Solano",2014,138
"Sonoma",2014,239
"Stanislaus",2014,189
"Slutter",2014,28
"Tehama",2014,8
"Trinity",2014,3
"Tulare",2014,161
"Tuolumne",2014,18
"Ventura",2014,1004
"Yolo",2014,126
"Yuba",2014,13
"Alameda",2013,771
"Alpine",2013,0
"Amador",2013,6
"Butte",2013,55
"Calaveras",2013,14
"Colusa",2013,9
"Contra Costa",2013,745
"Del Norte",2013,4
"El Dorado",2013,111
"Fresno",2013,237
"Glenn",2013,3
"Humboldt",2013,34
"Imperial",2013,34
"Inyo",2013,6
"Kern",2013,322
"Kings",2013,46
"Lake",2013,6
"Lassen",2013,8
"Los Angeles",2013,6012
"Madera",2013,30
"Marin",2013,211
"Mariposa",2013,0
"Mendocino",2013,41
"Merced",2013,83
"Modoc",2013,1
"Mono",2013,7
"Monterey",2013,216
"Napa",2013,72
"Nevada",2013,40
"Orange",2013,1910
"Placer",2013,198
"Plumas",2013,3
"Riverside",2013,738
"Sacramento",2013,467
"San Benito",2013,18
"San Bernadino",2013,628
"San Diego",2013,1729
"San Fransisco",2013,376
"San Joaquin",2013,173
"San Luis Obispo",2013,225
"San Mateo",2013,469
"Santa Barbara",2013,1155
"Santa Clara",2013,1261
"Santa Cruz",2013,164
"Shasta",2013,54
"Sierra",2013,1
"Siskiyou",2013,9
"Solano",2013,137
"Sonoma",2013,246
"Stanislaus",2013,174
"Slutter",2013,25
"Tehama",2013,5
"Trinity",2013,3
"Tulare",2013,151
"Tuolumne",2013,13
"Ventura",2013,1043
"Yolo",2013,118
"Yuba",2013,14
"Alameda",2012,727
"Alpine",2012,0
"Amador",2012,6
"Butte",2012,59
"Calaveras",2012,14
"Colusa",2012,10
"Contra Costa",2012,771
"Del Norte",2012,3
"El Dorado",2012,115
"Fresno",2012,220
"Glenn",2012,4
"Humboldt",2012,38
"Imperial",2012,32
"Inyo",2012,4
"Kern",2012,327
"Kings",2012,45
"Lake",2012,7
"Lassen",2012,2
"Los Angeles",2012,6053
"Madera",2012,32
"Marin",2012,230
"Mariposa",2012,3
"Mendocino",2012,46
"Merced",2012,91
"Modoc",2012,2
"Mono",2012,8
"Monterey",2012,211
"Napa",2012,62
"Nevada",2012,57
"Orange",2012,1887
"Placer",2012,208
"Plumas",2012,2
"Riverside",2012,739
"Sacramento",2012,480
"San Benito",2012,17
"San Bernadino",2012,638
"San Diego",2012,1769
"San Fransisco",2012,313
"San Joaquin",2012,195
"San Luis Obispo",2012,252
"San Mateo",2012,470
"Santa Barbara",2012,1222
"Santa Clara",2012,1201
"Santa Cruz",2012,201
"Shasta",2012,69
"Sierra",2012,1
"Siskiyou",2012,10
"Solano",2012,139
"Sonoma",2012,246
"Stanislaus",2012,163
"Slutter",2012,23
"Tehama",2012,5
"Trinity",2012,3
"Tulare",2012,149
"Tuolumne",2012,15
"Ventura",2012,1144
"Yolo",2012,124
"Yuba",2012,14
"Alameda",2011,742
"Alpine",2011,0
"Amador",2011,10
"Butte",2011,62
"Calaveras",2011,16
"Colusa",2011,7
"Contra Costa",2011,824
"Del Norte",2011,4
"El Dorado",2011,126
"Fresno",2011,210
"Glenn",2011,4
"Humboldt",2011,45
"Imperial",2011,45
"Inyo",2011,2
"Kern",2011,366
"Kings",2011,44
"Lake",2011,6
"Lassen",2011,3
"Los Angeles",2011,6073
"Madera",2011,39
"Marin",2011,258
"Mariposa",2011,5
"Mendocino",2011,40
"Merced",2011,89
"Modoc",2011,2
"Mono",2011,12
"Monterey",2011,214
"Napa",2011,58
"Nevada",2011,56
"Orange",2011,1971
"Placer",2011,213
"Plumas",2011,3
"Riverside",2011,735
"Sacramento",2011,500
"San Benito",2011,19
"San Bernadino",2011,635
"San Diego",2011,1779
"San Fransisco",2011,291
"San Joaquin",2011,208
"San Luis Obispo",2011,284
"San Mateo",2011,509
"Santa Barbara",2011,1343
"Santa Clara",2011,1220
"Santa Cruz",2011,226
"Shasta",2011,65
"Sierra",2011,1
"Siskiyou",2011,10
"Solano",2011,156
"Sonoma",2011,268
"Stanislaus",2011,162
"Slutter",2011,24
"Tehama",2011,6
"Trinity",2011,3
"Tulare",2011,166
"Tuolumne",2011,14
"Ventura",2011,1250
"Yolo",2011,119
"Yuba",2011,11
"Alameda",2010,749
"Alpine",2010,1
"Amador",2010,9
"Butte",2010,74
"Calaveras",2010,18
"Colusa",2010,6
"Contra Costa",2010,897
"Del Norte",2010,7
"El Dorado",2010,128
"Fresno",2010,218
"Glenn",2010,3
"Humboldt",2010,54
"Imperial",2010,40
"Inyo",2010,5
"Kern",2010,381
"Kings",2010,41
"Lake",2010,8
"Lassen",2010,4
"Los Angeles",2010,6118
"Madera",2010,40
"Marin",2010,304
"Mariposa",2010,6
"Mendocino",2010,41
"Merced",2010,79
"Modoc",2010,1
"Mono",2010,12
"Monterey",2010,221
"Napa",2010,56
"Nevada",2010,56
"Orange",2010,2016
"Placer",2010,227
"Plumas",2010,3
"Riverside",2010,745
"Sacramento",2010,500
"San Benito",2010,19
"San Bernadino",2010,643
"San Diego",2010,1804
"San Fransisco",2010,293
"San Joaquin",2010,229
"San Luis Obispo",2010,310
"San Mateo",2010,549
"Santa Barbara",2010,1513
"Santa Clara",2010,1227
"Santa Cruz",2010,238
"Shasta",2010,69
"Sierra",2010,1
"Siskiyou",2010,7
"Solano",2010,157
"Sonoma",2010,277
"Stanislaus",2010,175
"Slutter",2010,24
"Tehama",2010,12
"Trinity",2010,3
"Tulare",2010,179
"Tuolumne",2010,11
"Ventura",2010,1296
"Yolo",2010,113
"Yuba",2010,11
"Alameda",2009,711
"Alpine",2009,1
"Amador",2009,13
"Butte",2009,80
"Calaveras",2009,22
"Colusa",2009,5
"Contra Costa",2009,847
"Del Norte",2009,8
"El Dorado",2009,130
"Fresno",2009,223
"Glenn",2009,2
"Humboldt",2009,56
"Imperial",2009,31
"Inyo",2009,8
"Kern",2009,355
"Kings",2009,40
"Lake",2009,10
"Lassen",2009,4
"Los Angeles",2009,5760
"Madera",2009,36
"Marin",2009,303
"Mariposa",2009,6
"Mendocino",2009,45
"Merced",2009,64
"Modoc",2009,1
"Mono",2009,11
"Monterey",2009,224
"Napa",2009,62
"Nevada",2009,52
"Orange",2009,1904
"Placer",2009,214
"Plumas",2009,7
"Riverside",2009,699
"Sacramento",2009,495
"San Benito",2009,18
"San Bernadino",2009,629
"San Diego",2009,1708
"San Fransisco",2009,259
"San Joaquin",2009,210
"San Luis Obispo",2009,311
"San Mateo",2009,542
"Santa Barbara",2009,1561
"Santa Clara",2009,1214
"Santa Cruz",2009,246
"Shasta",2009,67
"Sierra",2009,1
"Siskiyou",2009,5
"Solano",2009,140
"Sonoma",2009,292
"Stanislaus",2009,171
"Slutter",2009,22
"Tehama",2009,15
"Trinity",2009,4
"Tulare",2009,184
"Tuolumne",2009,13
"Ventura",2009,1201
"Yolo",2009,118
"Yuba",2009,14
"Alameda",2008,756
"Alpine",2008,1
"Amador",2008,10
"Butte",2008,93
"Calaveras",2008,23
"Colusa",2008,2
"Contra Costa",2008,869
"Del Norte",2008,9
"El Dorado",2008,130
"Fresno",2008,244
"Glenn",2008,3
"Humboldt",2008,62
"Imperial",2008,34
"Inyo",2008,12
"Kern",2008,365
"Kings",2008,47
"Lake",2008,11
"Lassen",2008,3
"Los Angeles",2008,5485
"Madera",2008,41
"Marin",2008,316
"Mariposa",2008,6
"Mendocino",2008,46
"Merced",2008,68
"Modoc",2008,2
"Mono",2008,11
"Monterey",2008,234
"Napa",2008,76
"Nevada",2008,64
"Orange",2008,1764
"Placer",2008,231
"Plumas",2008,9
"Riverside",2008,661
"Sacramento",2008,477
"San Benito",2008,18
"San Bernadino",2008,647
"San Diego",2008,1673
"San Fransisco",2008,258
"San Joaquin",2008,188
"San Luis Obispo",2008,310
"San Mateo",2008,546
"Santa Barbara",2008,1695
"Santa Clara",2008,1233
"Santa Cruz",2008,234
"Shasta",2008,57
"Sierra",2008,1
"Siskiyou",2008,9
"Solano",2008,153
"Sonoma",2008,287
"Stanislaus",2008,169
"Slutter",2008,25
"Tehama",2008,18
"Trinity",2008,4
"Tulare",2008,179
"Tuolumne",2008,15
"Ventura",2008,1233
"Yolo",2008,113
"Yuba",2008,13
"Alameda",2007,784
"Alpine",2007,0
"Amador",2007,9
"Butte",2007,88
"Calaveras",2007,27
"Colusa",2007,5
"Contra Costa",2007,891
"Del Norte",2007,11
"El Dorado",2007,133
"Fresno",2007,262
"Glenn",2007,1
"Humboldt",2007,62
"Imperial",2007,33
"Inyo",2007,15
"Kern",2007,334
"Kings",2007,45
"Lake",2007,13
"Lassen",2007,3
"Los Angeles",2007,5386
"Madera",2007,38
"Marin",2007,302
"Mariposa",2007,4
"Mendocino",2007,45
"Merced",2007,74
"Modoc",2007,1
"Mono",2007,11
"Monterey",2007,234
"Napa",2007,72
"Nevada",2007,55
"Orange",2007,1680
"Placer",2007,235
"Plumas",2007,8
"Riverside",2007,638
"Sacramento",2007,470
"San Benito",2007,21
"San Bernadino",2007,608
"San Diego",2007,1625
"San Fransisco",2007,272
"San Joaquin",2007,192
"San Luis Obispo",2007,266
"San Mateo",2007,549
"Santa Barbara",2007,1716
"Santa Clara",2007,1230
"Santa Cruz",2007,256
"Shasta",2007,60
"Sierra",2007,4
"Siskiyou",2007,12
"Solano",2007,169
"Sonoma",2007,295
"Stanislaus",2007,168
"Slutter",2007,28
"Tehama",2007,21
"Trinity",2007,6
"Tulare",2007,174
"Tuolumne",2007,16
"Ventura",2007,1262
"Yolo",2007,122
"Yuba",2007,12
"Alameda",2006,759
"Alpine",2006,0
"Amador",2006,15
"Butte",2006,100
"Calaveras",2006,30
"Colusa",2006,5
"Contra Costa",2006,855
"Del Norte",2006,10
"El Dorado",2006,130
"Fresno",2006,286
"Glenn",2006,3
"Humboldt",2006,61
"Imperial",2006,37
"Inyo",2006,16
"Kern",2006,341
"Kings",2006,49
"Lake",2006,16
"Lassen",2006,8
"Los Angeles",2006,5316
"Madera",2006,35
"Marin",2006,278
"Mariposa",2006,4
"Mendocino",2006,47
"Merced",2006,81
"Modoc",2006,1
"Mono",2006,9
"Monterey",2006,255
"Napa",2006,77
"Nevada",2006,57
"Orange",2006,1663
"Placer",2006,218
"Plumas",2006,12
"Riverside",2006,558
"Sacramento",2006,452
"San Benito",2006,18
"San Bernadino",2006,558
"San Diego",2006,1597
"San Fransisco",2006,255
"San Joaquin",2006,184
"San Luis Obispo",2006,248
"San Mateo",2006,540
"Santa Barbara",2006,1740
"Santa Clara",2006,1213
"Santa Cruz",2006,266
"Shasta",2006,63
"Sierra",2006,4
"Siskiyou",2006,19
"Solano",2006,164
"Sonoma",2006,338
"Stanislaus",2006,166
"Slutter",2006,30
"Tehama",2006,17
"Trinity",2006,6
"Tulare",2006,176
"Tuolumne",2006,19
"Ventura",2006,1293
"Yolo",2006,128
"Yuba",2006,14
"Alameda",2005,761
"Alpine",2005,0
"Amador",2005,14
"Butte",2005,102
"Calaveras",2005,31
"Colusa",2005,9
"Contra Costa",2005,850
"Del Norte",2005,13
"El Dorado",2005,125
"Fresno",2005,305
"Glenn",2005,3
"Humboldt",2005,68
"Imperial",2005,40
"Inyo",2005,13
"Kern",2005,325
"Kings",2005,48
"Lake",2005,17
"Lassen",2005,8
"Los Angeles",2005,5357
"Madera",2005,46
"Marin",2005,298
"Mariposa",2005,5
"Mendocino",2005,46
"Merced",2005,85
"Modoc",2005,2
"Mono",2005,10
"Monterey",2005,258
"Napa",2005,87
"Nevada",2005,67
"Orange",2005,1660
"Placer",2005,227
"Plumas",2005,6
"Riverside",2005,545
"Sacramento",2005,449
"San Benito",2005,21
"San Bernadino",2005,492
"San Diego",2005,1569
"San Fransisco",2005,253
"San Joaquin",2005,204
"San Luis Obispo",2005,258
"San Mateo",2005,542
"Santa Barbara",2005,1752
"Santa Clara",2005,1172
"Santa Cruz",2005,267
"Shasta",2005,59
"Sierra",2005,3
"Siskiyou",2005,19
"Solano",2005,165
"Sonoma",2005,365
"Stanislaus",2005,154
"Slutter",2005,28
"Tehama",2005,16
"Trinity",2005,4
"Tulare",2005,165
"Tuolumne",2005,21
"Ventura",2005,1301
"Yolo",2005,141
"Yuba",2005,10
"Alameda",2004,747
"Alpine",2004,0
"Amador",2004,17
"Butte",2004,95
"Calaveras",2004,36
"Colusa",2004,10
"Contra Costa",2004,870
"Del Norte",2004,13
"El Dorado",2004,107
"Fresno",2004,294
"Glenn",2004,4
"Humboldt",2004,68
"Imperial",2004,38
"Inyo",2004,9
"Kern",2004,312
"Kings",2004,44
"Lake",2004,15
"Lassen",2004,8
"Los Angeles",2004,5244
"Madera",2004,47
"Marin",2004,311
"Mariposa",2004,7
"Mendocino",2004,51
"Merced",2004,80
"Modoc",2004,1
"Mono",2004,12
"Monterey",2004,250
"Napa",2004,86
"Nevada",2004,66
"Orange",2004,1702
"Placer",2004,197
"Plumas",2004,9
"Riverside",2004,476
"Sacramento",2004,406
"San Benito",2004,25
"San Bernadino",2004,466
"San Diego",2004,1613
"San Fransisco",2004,269
"San Joaquin",2004,193
"San Luis Obispo",2004,253
"San Mateo",2004,525
"Santa Barbara",2004,1800
"Santa Clara",2004,1180
"Santa Cruz",2004,258
"Shasta",2004,62
"Sierra",2004,4
"Siskiyou",2004,21
"Solano",2004,152
"Sonoma",2004,370
"Stanislaus",2004,138
"Slutter",2004,19
"Tehama",2004,13
"Trinity",2004,4
"Tulare",2004,161
"Tuolumne",2004,23
"Ventura",2004,1302
"Yolo",2004,127
"Yuba",2004,12
"Alameda",2003,721
"Alpine",2003,0
"Amador",2003,11
"Butte",2003,96
"Calaveras",2003,28
"Colusa",2003,10
"Contra Costa",2003,860
"Del Norte",2003,8
"El Dorado",2003,100
"Fresno",2003,275
"Glenn",2003,2
"Humboldt",2003,75
"Imperial",2003,38
"Inyo",2003,8
"Kern",2003,291
"Kings",2003,39
"Lake",2003,16
"Lassen",2003,9
"Los Angeles",2003,5279
"Madera",2003,47
"Marin",2003,323
"Mariposa",2003,7
"Mendocino",2003,55
"Merced",2003,82
"Modoc",2003,2
"Mono",2003,10
"Monterey",2003,281
"Napa",2003,81
"Nevada",2003,61
"Orange",2003,1719
"Placer",2003,186
"Plumas",2003,9
"Riverside",2003,437
"Sacramento",2003,400
"San Benito",2003,22
"San Bernadino",2003,462
"San Diego",2003,1610
"San Fransisco",2003,284
"San Joaquin",2003,203
"San Luis Obispo",2003,247
"San Mateo",2003,510
"Santa Barbara",2003,1845
"Santa Clara",2003,1240
"Santa Cruz",2003,231
"Shasta",2003,55
"Sierra",2003,2
"Siskiyou",2003,19
"Solano",2003,141
"Sonoma",2003,402
"Stanislaus",2003,147
"Slutter",2003,19
"Tehama",2003,14
"Trinity",2003,4
"Tulare",2003,166
"Tuolumne",2003,26
"Ventura",2003,1322
"Yolo",2003,128
"Yuba",2003,7
"Alameda",2002,743
"Alpine",2002,0
"Amador",2002,8
"Butte",2002,96
"Calaveras",2002,20
"Colusa",2002,5
"Contra Costa",2002,904
"Del Norte",2002,7
"El Dorado",2002,98
"Fresno",2002,255
"Glenn",2002,2
"Humboldt",2002,72
"Imperial",2002,31
"Inyo",2002,9
"Kern",2002,293
"Kings",2002,41
"Lake",2002,17
"Lassen",2002,8
"Los Angeles",2002,5009
"Madera",2002,44
"Marin",2002,377
"Mariposa",2002,9
"Mendocino",2002,49
"Merced",2002,61
"Modoc",2002,2
"Mono",2002,10
"Monterey",2002,277
"Napa",2002,81
"Nevada",2002,66
"Orange",2002,1696
"Placer",2002,168
"Plumas",2002,12
"Riverside",2002,413
"Sacramento",2002,403
"San Benito",2002,24
"San Bernadino",2002,439
"San Diego",2002,1612
"San Fransisco",2002,283
"San Joaquin",2002,185
"San Luis Obispo",2002,248
"San Mateo",2002,500
"Santa Barbara",2002,1849
"Santa Clara",2002,1235
"Santa Cruz",2002,203
"Shasta",2002,56
"Sierra",2002,1
"Siskiyou",2002,16
"Solano",2002,126
"Sonoma",2002,389
"Stanislaus",2002,154
"Slutter",2002,16
"Tehama",2002,10
"Trinity",2002,1
"Tulare",2002,165
"Tuolumne",2002,21
"Ventura",2002,1371
"Yolo",2002,116
"Yuba",2002,4
"Alameda",2001,772
"Alpine",2001,0
"Amador",2001,8
"Butte",2001,83
"Calaveras",2001,19
"Colusa",2001,6
"Contra Costa",2001,881
"Del Norte",2001,2
"El Dorado",2001,101
"Fresno",2001,252
"Glenn",2001,2
"Humboldt",2001,66
"Imperial",2001,29
"Inyo",2001,6
"Kern",2001,308
"Kings",2001,36
"Lake",2001,16
"Lassen",2001,10
"Los Angeles",2001,4914
"Madera",2001,30
"Marin",2001,369
"Mariposa",2001,7
"Mendocino",2001,45
"Merced",2001,52
"Modoc",2001,2
"Mono",2001,13
"Monterey",2001,266
"Napa",2001,88
"Nevada",2001,63
"Orange",2001,1686
"Placer",2001,156
"Plumas",2001,17
"Riverside",2001,402
"Sacramento",2001,410
"San Benito",2001,22
"San Bernadino",2001,440
"San Diego",2001,1564
"San Fransisco",2001,317
"San Joaquin",2001,177
"San Luis Obispo",2001,254
"San Mateo",2001,504
"Santa Barbara",2001,1889
"Santa Clara",2001,1193
"Santa Cruz",2001,182
"Shasta",2001,57
"Sierra",2001,1
"Siskiyou",2001,13
"Solano",2001,117
"Sonoma",2001,366
"Stanislaus",2001,179
"Slutter",2001,18
"Tehama",2001,10
"Trinity",2001,2
"Tulare",2001,140
